,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
3045111,M16A4,phy6,1.0,665438.1,365615.3,MIRAMAR,2U4GBNA0YmlLaGlVvZwT9pigxWU-JobUP_AJjUgBmMKKDBfJEcRkjn-8Lo8tkxR8,1777,MaloneMontana,2.0,665341.3,367423.6
3054038,M249,zo33,1.0,697690.6,380204.2,MIRAMAR,2U4GBNA0Ymmmeq0rR_wxrsvE9gYGmvQ2qcaDy4afNk357SV4kk4s2s9TfOokCWQ8,1954,hhi0po11,2.0,701172.1,384215.5
3064094,AKM,WQX777,1.0,491135.6,584519.8,MIRAMAR,2U4GBNA0YmmWksN9145kR72EyAfmq3Kwe89-ZARvGWvnkAQoq5V8aHo-BE2kUEVM,1963,asdaadffg,2.0,487570.5,580520.4
3067988,AWM,My-love-fanhui,1.0,340654.9,615315.3,MIRAMAR,2U4GBNA0YmnH1qH85ji6KH2hIHn3WiX7mLLs9UShce87m_wb_WFsAH1Wyhz5Pu84,1887,teknque,2.0,345658.1,617949.1
3071496,Groza,zhangyi1228,1.0,160259.9,319697.8,MIRAMAR,2U4GBNA0Ymmc7PQGqZV5mx_TxwY0nCs-Ci9p1g-ABSvWh_b1AoRlpgAhULoToy7j,1797,JediJawa,2.0,164322.5,321779.3
3071697,Kar98k,HLDJX,1.0,324947.0,435757.0,MIRAMAR,2U4GBNA0YmmnmQAc7DSZT1DzYPZHnqaOlm2NqwcrXhIDqt9XVSAuPcOdB5YrtKqD,1837,tangxinxin1988,2.0,323733.9,429628.9
3076766,M416,kuuga-1,1.0,597776.1,235960.8,MIRAMAR,2U4GBNA0YmnpKmKXSct_Javs8EevUDE9UnYBcmXrIfi8xHSk997J5hJbG1RGO5I2,1967,ggg666999,2.0,597197.8,234029.7
3078853,SCAR-L,Hokageee,1.0,624268.4,498316.2,MIRAMAR,2U4GBNA0Ymmq5sv8fEz9Jo5uLM9FeKm_mX0khZYHlCiqNJs_7cWZlcPo1Tu_4Y9E,1925,syndromexNH,2.0,625544.7,500405.9
3085044,SCAR-L,SirPooks,1.0,263377.8,590562.4,MIRAMAR,2U4GBNA0YmkdBatIZulESjTpyGj4pYCi27bEjfxfDvJa_udbG-jUAhgSKl1bt-BX,1955,Agility,2.0,267208.6,590958.4
3085289,Kar98k,H0nc,1.0,351791.7,403841.6,MIRAMAR,2U4GBNA0YmkdGwPUwpmbkAOVq7X1xR5l97uU4eFqH9wh1m2H3GS77ZJD6TGALpt-,1785,bsbs93,2.0,352813.5,396635.3
3089373,Tommy Gun,XsiIver,1.0,412736.8,578895.9,MIRAMAR,2U4GBNA0YmkZbF174Lj5QNzyXUmHxptljlE7z2iFt3GSQPVEAdZD0dM681vzf3f2,1982,PiggiE83,2.0,412797.7,578142.3
3091511,Grenade,Brace_McG,1.0,433508.3,320340.3,MIRAMAR,2U4GBNA0Yml483s_OGDETrDzCGkUQ-wq55iyRXIdBxCArBPOEedUaCpLxuRanh-n,1869,MNightSlamjam,2.0,434873.3,316033.6
3095993,SKS,Lucid____,1.0,516464.5,601121.2,MIRAMAR,2U4GBNA0YmnWm3HVV1-Y8d2kKPRmw917QBPcdHWqFcg1UGcXX39AIjqFLnJnh0f8,1844,Captain_Cheese_1,2.0,514511.0,598503.8
3099834,M416,domes_94,1.0,473441.5,478322.3,MIRAMAR,2U4GBNA0YmmZWgzcPn5pZwpdQf3L_JrYO0rx9Sq1yCXs6EmgRCaVZBHkOcd5_9gC,1876,Dwwwwwww,2.0,468615.3,474779.5
3101191,M416,123susu,1.0,393346.6,441830.9,MIRAMAR,2U4GBNA0YmmkTcg5eaf6ebQ-fqgA6J_fXrQI2DjIqzt396vl2VQAIpguWt7NCrvZ,1914,Tangboys,2.0,388982.0,438860.1
3102766,SCAR-L,TingYeTTT,1.0,303110.3,340171.2,MIRAMAR,2U4GBNA0YmnC8-PJvJAyZ6lbV3b4_hRB26FJaJsyv2Nfmh-i1zB9jQekaF96h1cU,1782,NiCe-OranGe,2.0,302653.8,348093.4
3114543,M416,CleopatraVII,1.0,368726.0,486240.6,MIRAMAR,2U4GBNA0Ymm92ifzrAyRTcwmedLv_oyuR-OacmqbHc44NfWHlv-iETjHkVw7fH9u,1777,iiDeebo,2.0,357840.4,490735.8
3116054,M416,HuYaZBSL,1.0,268619.9,503747.3,MIRAMAR,2U4GBNA0Ymm9oux7jMko0aLy-s0MWXeyMoPGRbdStRY9ZHAtQYphlpcz1b08SXk_,1794,PSMpro02,2.0,269572.8,503252.1
